disease	drug	proximity	pval	similarity	adjusted_similarity
Multiple Myeloma	5cocktail	0.916666666666667	3.06354449851102e-05	0.770833333333333	0.409588503530542
Multiple Myeloma	abatacept	1	0.0153312027460797	0.75	0.360314342149885
Multiple Myeloma	abciximab	1.15384615384615	0.00240463543953651	0.711538461538463	0.277155488947255
Multiple Myeloma	abiraterone	0	0.00406596693306711	1	0.99876963137617
Multiple Myeloma	aceclofenac	0.5	0.00155252111131639	0.875	0.992252128169256
Multiple Myeloma	acemetacin	0.5	0.00277828876505339	0.875	0.66284533862856
Multiple Myeloma	acetaminophen	0.75	0.00133390146872546	0.8125	0.512747218920256
Multiple Myeloma	acetylcysteine	1	0.0456476996451249	0.75	0.952840305984318
Multiple Myeloma	adalimumab	0	0.0199688854130538	1	0.87280601088719
Multiple Myeloma	aflibercept	0.666666666666667	0.000288647672640505	0.833333333333333	0.985755094398624
Multiple Myeloma	alclofenac	0	0.00640274881165993	1	0.99876963137617
Multiple Myeloma	alefacept	1.1	0.00792709511582824	0.725	0.304915215759369
Multiple Myeloma	alemtuzumab	1.2	0.00128237662481816	0.7	0.254643125457722
Multiple Myeloma	alfacalcidol	0.5	3.26344004919557e-07	0.875	0.66284533862856
Multiple Myeloma	alimemazine	1	0.023296851685566	0.75	0.360314342149885
Multiple Myeloma	alpha-linolenic acid	1.2	0.0170723420175858	0.7	0.254643125457722
Multiple Myeloma	alpha-tocopherol succinate	1	0.00798683802226674	0.75	0.952840305984318
Multiple Myeloma	alteplase	0.75	0.0403828460225557	0.8125	0.512747218920256
Multiple Myeloma	aminosalicylic acid	0.333333333333333	0.00859182396801925	0.916666666666667	0.995798525703052
Multiple Myeloma	anakinra	0	0.0121716918268705	1	0.99876963137617
Multiple Myeloma	anti-inhibitor coagulant complex	0.875	0.00105881857365597	0.78125	0.434994992848995
Multiple Myeloma	antihemophilic factor human	1	0.0256873999201652	0.75	0.360314342149885
Multiple Myeloma	antipyrine	0.5	0.000836296361444468	0.875	0.66284533862856
Multiple Myeloma	antithrombin alfa	0.5	0.0132280007394227	0.875	0.66284533862856
Multiple Myeloma	antrafenine	0.5	0.00181195528919512	0.875	0.992252128169256
Multiple Myeloma	argatroban	0	0.00936615987497437	1	0.99876963137617
Multiple Myeloma	arsenic trioxide	0.7	0.00236470969708471	0.825	0.983918895369359
Multiple Myeloma	atorvastatin	0.8	0.01811271071604	0.8	0.481508419323537
Multiple Myeloma	avanafil	1	0.00674400684144831	0.75	0.360314342149885
Multiple Myeloma	avatrombopag	0.5	8.77980206427685e-05	0.875	0.66284533862856
Multiple Myeloma	axicabtagene ciloleucel	0	0.00815421669071921	1	0.99876963137617
Multiple Myeloma	axitinib	0.666666666666667	0.0141246389523065	0.833333333333333	0.564472385369498
Multiple Myeloma	balsalazide	0.5	0.0002220431925507	0.875	0.992252128169256
Multiple Myeloma	baricitinib	0.5	2.20903899865339e-06	0.875	0.66284533862856
Multiple Myeloma	basiliximab	1.16666666666667	0.00123411917347373	0.708333333333332	0.27078040420135
Multiple Myeloma	becaplermin	0.666666666666667	0.0318582412016556	0.833333333333333	0.564472385369498
Multiple Myeloma	belatacept	1	0.00370643092073233	0.75	0.360314342149885
Multiple Myeloma	belimumab	0	8.22166432190802e-07	1	0.99876963137617
Multiple Myeloma	bemiparin	1	0.0295089370757762	0.75	0.360314342149885
Multiple Myeloma	bendazac	0.5	0.00738340309518346	0.875	0.66284533862856
Multiple Myeloma	benralizumab	0.5	0.000850298521240236	0.875	0.66284533862856
Multiple Myeloma	benserazide	1	0.0129229290870135	0.75	0.360314342149885
Multiple Myeloma	bevacizumab	1	0.000243955994370401	0.75	0.360314342149885
Multiple Myeloma	bezafibrate	0.571428571428571	0.000313213926294492	0.857142857142857	0.989936758233696
Multiple Myeloma	binimetinib	0.4	2.55884709429938e-07	0.9	0.994631849826025
Multiple Myeloma	bivalirudin	0	0.0205429434053599	1	0.99876963137617
Multiple Myeloma	bortezomib	0.5	0.00512083709545472	0.875	0.992252128169256
Multiple Myeloma	brentuximab vedotin	0	0.0013691101693352	1	0.99876963137617
Multiple Myeloma	brigatinib	0.666666666666667	0.0116610775596503	0.833333333333333	0.985755094398624
Multiple Myeloma	brolucizumab	0	0.00349731423179354	1	0.99876963137617
Multiple Myeloma	bromfenac	0.5	0.000511767608611176	0.875	0.66284533862856
Multiple Myeloma	calcifediol	0	0.000357510287929954	1	0.87280601088719
Multiple Myeloma	calcipotriol	0	7.22039941045998e-06	1	0.87280601088719
Multiple Myeloma	canakinumab	0	0.0020376000457602	1	0.87280601088719
Multiple Myeloma	cannabidiol	1.47368421052632	0.0187476126791612	0.63157894736842	0.147014591272422
Multiple Myeloma	cantharidin	0	0.0112399051573542	1	0.87280601088719
Multiple Myeloma	capecitabine	0	0.00123421611573329	1	0.99876963137617
Multiple Myeloma	carbidopa	1	0.00361430256779762	0.75	0.952840305984318
Multiple Myeloma	carbinoxamine	1	0.0381124214262309	0.75	0.360314342149885
Multiple Myeloma	carbocisteine	0	0.00441586272164044	1	0.99876963137617
Multiple Myeloma	carfilzomib	0.833333333333333	0.0242031753043299	0.791666666666667	0.973952942072859
Multiple Myeloma	carprofen	0.5	0.00241502114633555	0.875	0.992252128169256
Multiple Myeloma	catumaxomab	0.857142857142857	8.44586333044183e-06	0.785714285714286	0.445997163200509
Multiple Myeloma	cefazolin	0	2.93520855631666e-09	1	0.99876963137617
Multiple Myeloma	cefdinir	0	5.90182286876688e-05	1	0.87280601088719
Multiple Myeloma	cenegermin	0	9.7366033305876e-05	1	0.99876963137617
Multiple Myeloma	certolizumab pegol	0	0.0138285004048304	1	0.87280601088719
Multiple Myeloma	cetuximab	1.09090909090909	0.00153437104248747	0.727272727272728	0.30975332040849
Multiple Myeloma	cholecalciferol	0	3.86539784067624e-05	1	0.87280601088719
Multiple Myeloma	cholesterol	0.333333333333333	0.000758091054772853	0.916666666666667	0.995798525703052
