disease	drug	proximity	pval	similarity	adjusted_similarity
Albinism, Ocular	adenosine phosphate	2	0.019084721075133	0.6	0.871098480500969
Albinism, Ocular	afamelanotide	0	6.73040975273983e-08	1	0.999929054787926
Albinism, Ocular	agomelatine	1.66666666666667	0.00720225618918911	0.666666666666666	0.960247203495085
Albinism, Ocular	alverine	1	0.00316334152339912	0.8	0.996770261100136
Albinism, Ocular	amisulpride	1.75	0.0127800758276183	0.65	0.946142906905284
Albinism, Ocular	arbutin	0	4.99027527463479e-07	1	0.999929054787926
Albinism, Ocular	arformoterol	1	0.000370197764702744	0.8	0.996770261100136
Albinism, Ocular	asfotase alfa	1	0.0020376000457602	0.8	0.996770261100136
Albinism, Ocular	azelaic acid	0	6.86064167664955e-07	1	0.999929054787926
Albinism, Ocular	bremelanotide	1.4	4.9993714113511e-06	0.72	0.985277609560617
Albinism, Ocular	brexpiprazole	1.8	0.00385877631545403	0.64	0.935534563146267
Albinism, Ocular	buspirone	1.85714285714286	0.00930719841259453	0.628571428571428	0.921044389868514
Albinism, Ocular	caffeine	2.1875	0.0390622406648556	0.5625	0.767489865502172
Albinism, Ocular	calcium citrate	2.06451612903226	0.0418220689795732	0.587096774193548	0.840796123364272
Albinism, Ocular	calcium phosphate	2.06451612903226	0.0421800653670236	0.587096774193548	0.840796123364272
Albinism, Ocular	calcium phosphate dihydrate	2.06451612903226	0.0468049770049609	0.587096774193548	0.840796123364272
Albinism, Ocular	cariprazine	1.83333333333333	0.00766647973301287	0.633333333333334	0.927412683879904
Albinism, Ocular	chloramphenicol	1	0.00030258613126902	0.8	0.996770261100136
Albinism, Ocular	dacarbazine	1.5	0.00174743689609769	0.7	0.978572352036343
Albinism, Ocular	dipyridamole	2	0.0407972604846893	0.6	0.871098480500969
Albinism, Ocular	domperidone	1.5	0.00342341891371522	0.7	0.978572352036343
Albinism, Ocular	dronabinol	1.5	0.00650238267099552	0.7	0.0721895811358648
Albinism, Ocular	droperidol	1.5	0.0123034606675683	0.7	0.978572352036343
Albinism, Ocular	enprofylline	2	0.0356823304840114	0.6	0.871098480500969
Albinism, Ocular	etafedrine	1	0.000143540578803737	0.8	0.996770261100136
Albinism, Ocular	flibanserin	1.66666666666667	0.0072585881197047	0.666666666666666	0.960247203495085
Albinism, Ocular	gadopentetic acid	1	2.89519639432475e-05	0.8	0.996770261100136
Albinism, Ocular	hexylresorcinol	1.33333333333333	9.18889669580689e-06	0.733333333333334	0.988550739061769
Albinism, Ocular	hydroquinone	0	1.07149772260232e-05	1	0.999929054787926
Albinism, Ocular	ibalizumab	1.66666666666667	0.00130605292526103	0.666666666666666	0.960247203495085
Albinism, Ocular	indacaterol	1	0.000370197764702744	0.8	0.996770261100136
Albinism, Ocular	isocarboxazid	2	0.0330213436530354	0.6	0.871098480500969
Albinism, Ocular	ketotifen	1.5	0.00610021829868131	0.7	0.978572352036343
Albinism, Ocular	levosalbutamol	1	4.10349678958117e-05	0.8	0.996770261100136
Albinism, Ocular	lofexidine	2	0.0481681534601393	0.6	0.0278268730628609
Albinism, Ocular	lurasidone	1.83333333333333	0.00834181978409405	0.633333333333334	0.927412683879904
Albinism, Ocular	maraviroc	1	6.78925178991005e-05	0.8	0.996770261100136
Albinism, Ocular	mesoridazine	1.5	0.00638619142638236	0.7	0.978572352036343
Albinism, Ocular	mestranol	1	0.0304997277935272	0.8	0.996770261100136
Albinism, Ocular	metoclopramide	2	0.0434837066600192	0.6	0.871098480500969
Albinism, Ocular	molindone	1.5	0.000237897650165473	0.7	0.978572352036343
Albinism, Ocular	monobenzone	0	5.01928917283095e-07	1	0.999929054787926
Albinism, Ocular	nabilone	1.5	0.00534591432828489	0.7	0.0721895811358648
Albinism, Ocular	naratriptan	2	0.030808998673368	0.6	0.871098480500969
