disease	drug	proximity	pval	similarity	adjusted_similarity
Obsessive-Compulsive Disorder	abarelix	0	5.23327871519109e-08	1	0.9992861531704
Obsessive-Compulsive Disorder	acamprosate	0.333333333333333	5.95964213175617e-41	0.916666666666667	0.997126609443928
Obsessive-Compulsive Disorder	acebutolol	0	0.000811818918374315	1	0.9992861531704
Obsessive-Compulsive Disorder	acetophenazine	0.333333333333333	9.03049915018188e-07	0.916666666666667	0.997126609443928
Obsessive-Compulsive Disorder	acetylcholine	0.333333333333333	5.78195596808819e-11	0.916666666666667	0.997126609443928
Obsessive-Compulsive Disorder	acetylcysteine	1	0.00230692781894321	0.75	0.119962222250781
Obsessive-Compulsive Disorder	aclidinium	0.4	1.19919757972717e-12	0.9	0.996205634303451
Obsessive-Compulsive Disorder	adalimumab	0	0.0145346303296081	1	0.624152685159914
Obsessive-Compulsive Disorder	adenosine	0	4.04364369709258e-14	1	0.9992861531704
Obsessive-Compulsive Disorder	aflibercept	1	0.0197217685662393	0.75	0.955207977575725
Obsessive-Compulsive Disorder	alfentanil	0	0.00463767626926968	1	0.624152685159914
Obsessive-Compulsive Disorder	alfuzosin	0.25	1.51401630690051e-07	0.9375	0.997970776510348
Obsessive-Compulsive Disorder	aliskiren	1	0.0463971635302648	0.75	0.955207977575725
Obsessive-Compulsive Disorder	almotriptan	0	1.48788664489978e-07	1	0.9992861531704
Obsessive-Compulsive Disorder	alosetron	0	3.43605928894683e-06	1	0.9992861531704
Obsessive-Compulsive Disorder	alprazolam	0.285714285714286	5.12679587918424e-47	0.928571428571428	0.448415776041358
Obsessive-Compulsive Disorder	aluminum acetate	1	0.0329579455557992	0.75	0.955207977575725
Obsessive-Compulsive Disorder	alverine	0	0.000116537548341265	1	0.624152685159914
Obsessive-Compulsive Disorder	alvimopan	0	5.57121013207915e-07	1	0.9992861531704
Obsessive-Compulsive Disorder	amantadine	0.4	1.96751568180196e-14	0.9	0.379237016466492
Obsessive-Compulsive Disorder	ambenonium	0	0.0013124482023245	1	0.9992861531704
Obsessive-Compulsive Disorder	aminophylline	0.5	1.14900020815059e-06	0.875	0.994245566029207
Obsessive-Compulsive Disorder	amiodarone	1.14285714285714	0.0281286810232105	0.714285714285715	0.921445576760567
Obsessive-Compulsive Disorder	amisulpride	0	2.56173709706208e-07	1	0.9992861531704
Obsessive-Compulsive Disorder	amitriptyline	0.5	2.26226183951503e-51	0.875	0.994245566029207
Obsessive-Compulsive Disorder	amobarbital	0.3	6.76135830122894e-19	0.925	0.439599417319548
Obsessive-Compulsive Disorder	amoxapine	0.292682926829268	4.06905347209422e-103	0.926829268292683	0.997574951233986
Obsessive-Compulsive Disorder	amphetamine	0.352941176470588	1.0574081522255e-34	0.911764705882353	0.996881691327373
Obsessive-Compulsive Disorder	amrinone	0.75	4.80963440176027e-05	0.8125	0.202977470334263
Obsessive-Compulsive Disorder	amyl nitrite	0	0.000844667502545841	1	0.9992861531704
Obsessive-Compulsive Disorder	amylocaine	1.57142857142857	0.0326289859951344	0.607142857142857	0.661259280395635
Obsessive-Compulsive Disorder	angiotensin ii	0	0.00463767626926968	1	0.624152685159914
Obsessive-Compulsive Disorder	anileridine	0	0.00270821107233604	1	0.624152685159914
Obsessive-Compulsive Disorder	anisotropine methylbromide	0	6.90768589384069e-11	1	0.9992861531704
Obsessive-Compulsive Disorder	apalutamide	0.285714285714286	8.31347363174089e-39	0.928571428571428	0.997644476641625
Obsessive-Compulsive Disorder	apomorphine	0.333333333333333	4.52900838910662e-29	0.916666666666667	0.419184671121121
Obsessive-Compulsive Disorder	apraclonidine	0.666666666666667	0.000446729901518982	0.833333333333333	0.238766396971863
Obsessive-Compulsive Disorder	aprepitant	0	1.58716866629236e-06	1	0.9992861531704
Obsessive-Compulsive Disorder	arbutamine	0.333333333333333	0.000102305368393361	0.916666666666667	0.997126609443928
Obsessive-Compulsive Disorder	arformoterol	0	0.0466151774612966	1	0.9992861531704
Obsessive-Compulsive Disorder	aripiprazole	0.372093023255814	7.10210649384153e-72	0.906976744186046	0.996622396832099
Obsessive-Compulsive Disorder	aripiprazole lauroxil	0.28	1.0571267700251e-59	0.93	0.997700000950914
Obsessive-Compulsive Disorder	armodafinil	0	0.00244301050779268	1	0.624152685159914
Obsessive-Compulsive Disorder	asenapine	0.368421052631579	2.6828022646182e-36	0.907894736842105	0.996673723635468
Obsessive-Compulsive Disorder	atenolol	0	0.00111948456394163	1	0.9992861531704
Obsessive-Compulsive Disorder	atomoxetine	0.454545454545455	1.19259281841868e-17	0.886363636363636	0.995237486287821
Obsessive-Compulsive Disorder	atosiban	0.25	1.01934919559486e-12	0.9375	0.997970776510348
Obsessive-Compulsive Disorder	atracurium besylate	0	0.000172228967192492	1	0.9992861531704
Obsessive-Compulsive Disorder	atropine	0.428571428571429	6.50632065835384e-21	0.892857142857143	0.995725851382966
Obsessive-Compulsive Disorder	azatadine	1	0.0416124199284883	0.75	0.119962222250781
Obsessive-Compulsive Disorder	azilsartan medoxomil	0	0.00166977083450617	1	0.624152685159914
Obsessive-Compulsive Disorder	baclofen	0	9.24662065869508e-06	1	0.9992861531704
Obsessive-Compulsive Disorder	benazepril	1	0.0139557179990722	0.75	0.119962222250781
Obsessive-Compulsive Disorder	benserazide	0	4.10349678958117e-05	1	0.624152685159914
Obsessive-Compulsive Disorder	benzatropine	0.2	1.81580990632722e-12	0.95	0.998353215011679
Obsessive-Compulsive Disorder	benzphetamine	0.25	7.86415780271494e-09	0.9375	0.47058700917311
Obsessive-Compulsive Disorder	betahistine	1	0.000936881206762906	0.75	0.119962222250781
Obsessive-Compulsive Disorder	betaxolol	0	0.00148037641346019	1	0.9992861531704
Obsessive-Compulsive Disorder	bethanechol	0.5	6.85847173672165e-09	0.875	0.994245566029207
Obsessive-Compulsive Disorder	bethanidine	0.857142857142857	5.78496260071137e-05	0.785714285714286	0.163058505925739
Obsessive-Compulsive Disorder	bezafibrate	1	0.0241162929223228	0.75	0.119962222250781
Obsessive-Compulsive Disorder	bilastine	1	0.0490826904362645	0.75	0.119962222250781
Obsessive-Compulsive Disorder	binimetinib	0.8	0.00177414385012959	0.8	0.183503639006206
Obsessive-Compulsive Disorder	biperiden	0	1.20584033813264e-10	1	0.9992861531704
Obsessive-Compulsive Disorder	bisoprolol	0	0.000539175505134142	1	0.9992861531704
Obsessive-Compulsive Disorder	bosutinib	0.9	0.0440667336318894	0.775	0.970064629067574
Obsessive-Compulsive Disorder	botulinum toxin type b	1	0.0163171436633248	0.75	0.119962222250781
Obsessive-Compulsive Disorder	bremelanotide	1	0.00012702475960826	0.75	0.119962222250781
Obsessive-Compulsive Disorder	brexanolone	0.230769230769231	1.00776934627896e-39	0.942307692307692	0.998127369439541
Obsessive-Compulsive Disorder	brexpiprazole	0.4	2.27021854775403e-10	0.9	0.379237016466492
Obsessive-Compulsive Disorder	brivaracetam	1.54545454545455	0.00600937545891016	0.613636363636362	0.68516097077273
Obsessive-Compulsive Disorder	bromazepam	0.2	2.39975405214712e-45	0.95	0.998353215011679
Obsessive-Compulsive Disorder	bromocriptine	0.222222222222222	2.04274530394744e-40	0.944444444444445	0.998193037412519
Obsessive-Compulsive Disorder	bromodiphenhydramine	1	0.00141806632782734	0.75	0.119962222250781
Obsessive-Compulsive Disorder	brompheniramine	0.5	1.94967619469912e-12	0.875	0.994245566029207
Obsessive-Compulsive Disorder	buclizine	0.5	1.36607047760328e-05	0.875	0.994245566029207
Obsessive-Compulsive Disorder	buprenorphine	0.25	3.18604735467823e-08	0.9375	0.997970776510348
Obsessive-Compulsive Disorder	bupropion	0.25	1.01769722266998e-10	0.9375	0.997970776510348
Obsessive-Compulsive Disorder	buserelin	0	2.69882184240368e-06	1	0.9992861531704
Obsessive-Compulsive Disorder	buspirone	0	4.22366557312001e-22	1	0.9992861531704
Obsessive-Compulsive Disorder	butabarbital	0.235294117647059	8.22567309315913e-42	0.941176470588235	0.479755261132924
Obsessive-Compulsive Disorder	butalbital	0.235294117647059	1.14470730713772e-47	0.941176470588235	0.479755261132924
Obsessive-Compulsive Disorder	butobarbital	0.3	6.28139732293791e-21	0.925	0.439599417319548
Obsessive-Compulsive Disorder	butorphanol	0	2.82326924946873e-06	1	0.9992861531704
Obsessive-Compulsive Disorder	butriptyline	0.333333333333333	5.00184201573872e-06	0.916666666666667	0.419184671121121
Obsessive-Compulsive Disorder	butylscopolamine	0	1.11562515238499e-08	1	0.9992861531704
Obsessive-Compulsive Disorder	cabergoline	0.2	2.48815292249746e-38	0.95	0.998353215011679
Obsessive-Compulsive Disorder	caffeine	1.34375	6.83995827796243e-07	0.6640625	0.0545696188431914
Obsessive-Compulsive Disorder	calcium citrate	1.41935483870968	0.0388517298389422	0.64516129032258	0.0456000043659292
Obsessive-Compulsive Disorder	calcium phosphate	1.41935483870968	0.0470479449505622	0.64516129032258	0.0456000043659292
Obsessive-Compulsive Disorder	canakinumab	0	0.000862105612433337	1	0.624152685159914
Obsessive-Compulsive Disorder	candesartan cilexetil	0	0.00191420013909588	1	0.624152685159914
Obsessive-Compulsive Disorder	cannabidiol	1.31578947368421	8.89027204945184e-08	0.671052631578948	0.0582902842391234
Obsessive-Compulsive Disorder	captopril	1.2	0.0465277381023186	0.7	0.902300682472724
Obsessive-Compulsive Disorder	carbamazepine	1.44444444444444	0.0261514370249972	0.63888888888889	0.042946708407437
Obsessive-Compulsive Disorder	carbamoylcholine	0.333333333333333	9.19732149482384e-18	0.916666666666667	0.997126609443928
Obsessive-Compulsive Disorder	carbetocin	0	0.000338923428174523	1	0.624152685159914
Obsessive-Compulsive Disorder	carbidopa	0	2.26940170268882e-06	1	0.624152685159914
Obsessive-Compulsive Disorder	cariprazine	0.166666666666667	2.34381643183839e-12	0.958333333333333	0.998567293942004
Obsessive-Compulsive Disorder	carisoprodol	0	3.30328405656217e-24	1	0.9992861531704
Obsessive-Compulsive Disorder	carteolol	0	0.00204060779312965	1	0.9992861531704
Obsessive-Compulsive Disorder	carvedilol	0.777777777777778	7.05980092459624e-15	0.805555555555555	0.981831452345402
Obsessive-Compulsive Disorder	celiprolol	0.833333333333333	6.58540152663167e-06	0.791666666666667	0.171345503497321
Obsessive-Compulsive Disorder	cenegermin	0	0.0255088473804704	1	0.9992861531704
Obsessive-Compulsive Disorder	certolizumab pegol	0	0.0249293132609061	1	0.624152685159914
Obsessive-Compulsive Disorder	ceruletide	0	2.26908385670915e-06	1	0.9992861531704
Obsessive-Compulsive Disorder	cetrorelix	0	1.21884995004584e-08	1	0.9992861531704
Obsessive-Compulsive Disorder	cevimeline	0	7.36949058318514e-08	1	0.9992861531704
Obsessive-Compulsive Disorder	chlordiazepoxide	0.230769230769231	8.02207742897074e-42	0.942307692307692	0.998127369439541
Obsessive-Compulsive Disorder	chlormerodrin	1	0.00817287440006739	0.75	0.119962222250781
Obsessive-Compulsive Disorder	chlormezanone	1	0.0355349715584219	0.75	0.119962222250781
Obsessive-Compulsive Disorder	chloroprocaine	0.5	5.45530695199138e-09	0.875	0.994245566029207
Obsessive-Compulsive Disorder	chlorpheniramine	0.25	9.83080220771445e-11	0.9375	0.47058700917311
Obsessive-Compulsive Disorder	chlorpromazine	0.576923076923077	1.15786152195988e-34	0.855769230769231	0.992077935068542
Obsessive-Compulsive Disorder	chlorpropamide	1	0.0309352263628216	0.75	0.955207977575725
Obsessive-Compulsive Disorder	chlorprothixene	0.25	1.50170990508272e-25	0.9375	0.997970776510348
Obsessive-Compulsive Disorder	cholecystokinin	0.5	1.63191922617151e-08	0.875	0.994245566029207
Obsessive-Compulsive Disorder	cholesterol	0.666666666666667	0.00543953639623923	0.833333333333333	0.988509095579905
Obsessive-Compulsive Disorder	choline	0.857142857142857	2.33432288518133e-07	0.785714285714286	0.974855401251571
Obsessive-Compulsive Disorder	choline salicylate	0.857142857142857	3.77643508063741e-06	0.785714285714286	0.974855401251571
Obsessive-Compulsive Disorder	chondroitin sulfate	0.25	1.81871814229591e-08	0.9375	0.997970776510348
Obsessive-Compulsive Disorder	choriogonadotropin alfa	1	0.0474677993578668	0.75	0.955207977575725
Obsessive-Compulsive Disorder	chorionic gonadotropin (human)	0	0.00206034980381683	1	0.624152685159914
Obsessive-Compulsive Disorder	cilazapril	1	0.0407019253872111	0.75	0.119962222250781
Obsessive-Compulsive Disorder	cinacalcet	1	0.0422008022958238	0.75	0.955207977575725
Obsessive-Compulsive Disorder	cinnarizine	0.9375	2.59347596864732e-17	0.765625	0.96515615347934
Obsessive-Compulsive Disorder	cisapride	0.25	6.43465123260718e-09	0.9375	0.997970776510348
Obsessive-Compulsive Disorder	cisatracurium	0	1.05500270794585e-06	1	0.9992861531704
Obsessive-Compulsive Disorder	citalopram	0.5	0.00157992720845227	0.875	0.994245566029207
Obsessive-Compulsive Disorder	clenbuterol	0.2	7.03089211752357e-08	0.95	0.998353215011679
Obsessive-Compulsive Disorder	clidinium	0	1.4730657065071e-10	1	0.9992861531704
Obsessive-Compulsive Disorder	clobazam	0.230769230769231	3.57306637555066e-28	0.942307692307692	0.998127369439541
Obsessive-Compulsive Disorder	clomifene	0	0.0142489420899345	1	0.9992861531704
Obsessive-Compulsive Disorder	clomipramine	0.166666666666667	3.72539562210157e-13	0.958333333333333	0.998567293942004
Obsessive-Compulsive Disorder	clonazepam	0.333333333333333	9.64428992107009e-41	0.916666666666667	0.419184671121121
Obsessive-Compulsive Disorder	clonidine	0.666666666666667	1.72826659736906e-11	0.833333333333333	0.238766396971863
Obsessive-Compulsive Disorder	clorazepic acid	0.285714285714286	1.9143788677966e-45	0.928571428571428	0.448415776041358
Obsessive-Compulsive Disorder	clotiazepam	0.0769230769230769	1.51402666013099e-32	0.980769230769231	0.999015374687384
Obsessive-Compulsive Disorder	clozapine	0.407407407407407	4.03215242316357e-65	0.898148148148148	0.996086656569795
Obsessive-Compulsive Disorder	cocaine	0.777777777777778	1.32963874359758e-11	0.805555555555555	0.981831452345402
Obsessive-Compulsive Disorder	codeine	0	5.62681756041972e-10	1	0.9992861531704
