SYMBOL,ENTREZID,GENENAME,logFC,AveExpr,t,P.Value,adj.P.Val,B
A2M,2,alpha-2-macroglobulin,-1.527595671,6.223286359,-3.506472269,0.000951573,0.005837227,-1.050032517
AARS1,16,alanyl-tRNA synthetase 1,-1.518958586,7.893986504,-3.732984412,0.000474334,0.003412451,-0.400953517
ACADM,34,acyl-CoA dehydrogenase medium chain,-1.522789585,7.482513687,-3.973977526,0.000221241,0.001892616,0.314337304
ACAT1,38,acetyl-CoA acetyltransferase 1,-1.200339466,6.987306739,-4.283587579,8.06E-05,0.000890013,1.266435272
ADD3,120,adducin 3,-1.511526548,7.123860777,-4.697448487,2.00E-05,0.000318151,2.588519382
ADM,133,adrenomedullin,2.442052202,8.676137771,5.150651553,4.15E-06,0.000100761,4.087987584
PARP4,143,poly(ADP-ribose) polymerase family member 4,-1.590411252,6.818208294,-5.378222545,1.86E-06,6.12E-05,4.856890382
AGL,178,amylo-alpha-1  6-glucosidase  4-alpha-glucanotransferase,-1.459029301,4.701306605,-5.117740524,4.66E-06,0.000109163,3.977584147
ABCD2,225,ATP binding cassette subfamily D member 2,-1.463448781,4.985313859,-3.981627702,0.000215875,0.001863651,0.337431718
AMPD1,270,adenosine monophosphate deaminase 1,-2.316260407,8.16343488,-4.782824338,1.49E-05,0.000257084,2.867286634
ANXA2,302,annexin A2,1.00241551,8.890360626,3.327739485,0.001623009,0.008677564,-1.544758036
APAF1,317,apoptotic peptidase activating factor 1,-1.254757385,5.094103245,-3.80883784,0.000373978,0.002847194,-0.178437539
BIRC3,330,baculoviral IAP repeat containing 3,-1.59588579,8.784422299,-2.501578814,0.015587682,0.045845274,-3.59679775
RHOB,388,ras homolog family member B,1.05400968,10.19825353,2.620136414,0.011527078,0.036350472,-3.328597617
ARSA,410,arylsulfatase A,-1.085298368,7.045066363,-4.469080681,4.34E-05,0.000561122,1.852624646
ATM,472,ATM serine/threonine kinase,-1.42099742,6.69926205,-4.228582105,9.67E-05,0.001006428,1.094778655
ATP6V1C1,528,ATPase H+ transporting V1 subunit C1,-1.218397711,5.898802982,-3.717298435,0.000498096,0.00355082,-0.446655545
ATP6V0A1,535,ATPase H+ transporting V0 subunit a1,-1.00942261,7.483747466,-3.308257004,0.001718775,0.009005383,-1.597699691
ATRX,546,ATRX chromatin remodeler,-1.706362028,5.020666221,-4.76151435,1.61E-05,0.000268104,2.797530611
BCL2L1,598,BCL2 like 1,-1.453099559,7.835423139,-4.940873216,8.65E-06,0.000173348,3.388095928
BMPR1A,657,bone morphogenetic protein receptor type 1A,-1.686602017,5.15910555,-5.062999439,5.65E-06,0.000125953,3.794430482
BNIP3,664,BCL2 interacting protein 3,-1.638189917,5.187528286,-3.968946978,0.00022484,0.001916434,0.299163576
BST2,684,bone marrow stromal cell antigen 2,1.07402887,7.688349818,3.314065294,0.001689678,0.008904792,-1.581937034
KLF9,687,Kruppel like factor 9,1.183835944,7.822239234,4.290307706,7.89E-05,0.000881309,1.287477141
BTK,695,Bruton tyrosine kinase,-1.557046542,6.622717097,-4.331359525,6.88E-05,0.000795563,1.416343504
SERPING1,710,serpin family G member 1,-1.16068681,5.282627591,-4.2042874,0.000104727,0.001068854,1.019292951
C1S,716,complement C1s,-1.0810559,5.066298189,-2.926617043,0.005091935,0.020064953,-2.592681642
CAT,847,catalase,-1.042261811,6.869736709,-2.497108846,0.015763498,0.046296666,-3.606721798
KRIT1,889,KRIT1 ankyrin repeat containing,-1.309307399,6.372804294,-6.085418914,1.47E-07,9.71E-06,7.293309498
CD9,928,CD9 molecule,-1.859482955,8.219894466,-2.696560636,0.009448461,0.031350501,-3.150721249
CD27,939,CD27 molecule,-2.705290497,8.060245704,-3.813885628,0.00036808,0.002817334,-0.163542186
CD36,948,CD36 molecule,-1.579733459,5.25907331,-2.875428297,0.005857325,0.022264508,-2.71970105
SCARB2,950,scavenger receptor class B member 2,-1.042966817,8.285926582,-3.476667431,0.0010412,0.00623263,-1.133638144
CD74,972,CD74 molecule,-1.163032463,10.22609354,-2.655101697,0.010529039,0.033816715,-3.247694244
CD79A,973,CD79a molecule,-1.824340203,7.746917445,-3.060228153,0.003510267,0.015185185,-2.25375649
CD81,975,CD81 molecule,-2.076529676,7.219839866,-5.339077275,2.14E-06,6.44E-05,4.72398382
ADGRE5,976,adhesion G protein-coupled receptor E5,1.599855512,8.631416883,4.939285193,8.70E-06,0.000173348,3.382833903
CDC6,990,cell division cycle 6,-1.509707209,4.884871085,-4.668733283,2.21E-05,0.000345652,2.495187696
CDK8,1024,cyclin dependent kinase 8,-1.096201295,6.087190233,-4.251106916,8.98E-05,0.000959358,1.164947498
CDKN1A,1026,cyclin dependent kinase inhibitor 1A,1.681816022,8.20541552,5.626012972,7.68E-07,3.29E-05,5.703641513
CDR1,1038,cerebellar degeneration related protein 1,-2.424457194,3.95698445,-4.25376724,8.90E-05,0.000953682,1.173246371
CETN3,1070,centrin 3,-1.38786123,3.158370144,-5.628743947,7.61E-07,3.28E-05,5.713021925
CFL2,1073,cofilin 2,1.408146348,8.902101435,3.95768757,0.000233101,0.001965484,0.265237796
RCBTB2,1102,RCC1 and BTB domain containing protein 2,-1.831114794,5.780015439,-5.40847795,1.67E-06,5.61E-05,4.959785059
LYST,1130,lysosomal trafficking regulator,-1.02158177,4.819756706,-2.750474933,0.008195499,0.028415491,-3.022942901
CHUK,1147,component of inhibitor of nuclear factor kappa B kinase complex,-1.088130775,5.854524966,-4.288726244,7.93E-05,0.000883836,1.282523951
CIRBP,1153,cold inducible RNA binding protein,1.094457321,10.59602033,4.233821618,9.50E-05,0.000995821,1.1110851
CKS2,1164,CDC28 protein kinase regulatory subunit 2,1.234310593,6.437274692,3.563063808,0.000801241,0.005108185,-0.890106903
CLIC1,1192,chloride intracellular channel 1,1.125873927,9.555234247,5.155255773,4.09E-06,0.000100177,4.103449841
PLK3,1263,polo like kinase 3,1.031495362,6.637091411,3.169174802,0.002574624,0.011922841,-1.969762129
COX5B,1329,cytochrome c oxidase subunit 5B,1.169790419,7.420221965,5.226428948,3.18E-06,8.41E-05,4.342983502
COX6C,1345,cytochrome c oxidase subunit 6C,1.240195666,8.577779926,5.181934822,3.72E-06,9.47E-05,4.193126004
COX7B,1349,cytochrome c oxidase subunit 7B,1.016798841,6.37907278,2.653890749,0.010562238,0.033867271,-3.250509693
COX7C,1350,cytochrome c oxidase subunit 7C,1.508804987,8.152576288,5.512467905,1.15E-06,4.31E-05,5.31452456
CP,1356,ceruloplasmin,-1.969539069,3.97626571,-4.302885693,7.56E-05,0.000851406,1.326901541
CR2,1380,complement C3d receptor 2,-1.227599477,3.261536135,-4.719733384,1.85E-05,0.000301925,2.661101556
CREB1,1385,cAMP responsive element binding protein 1,-1.166206424,7.551580597,-4.989992841,7.29E-06,0.000155049,3.551135619
ATF2,1386,activating transcription factor 2,-1.505058026,7.944319153,-6.591853102,2.32E-08,2.66E-06,9.064185578
CRYZ,1429,crystallin zeta,-1.773187199,6.015640395,-4.538738519,3.43E-05,0.000479401,2.075508787
VCAN,1462,versican,-1.744210304,6.091759809,-3.043627883,0.003678131,0.015703816,-2.296435199
CTSH,1512,cathepsin H,-2.537775931,6.947525906,-4.801682431,1.40E-05,0.000244346,2.929111691
CTSW,1521,cathepsin W,-2.163570629,6.831647219,-4.321024541,7.12E-05,0.000815458,1.383848376
CYP1B1,1545,cytochrome P450 family 1 subfamily B member 1,-1.301861644,5.31713723,-3.023439712,0.003892396,0.016395456,-2.348122978
CYP2J2,1573,cytochrome P450 family 2 subfamily J member 2,1.212881231,5.659157928,3.149756522,0.002722046,0.012410104,-2.020869198
DAB2,1601,DAB adaptor protein 2,-1.397486642,5.378183385,-3.304629029,0.001737188,0.009071556,-1.607536379
DGKA,1606,diacylglycerol kinase alpha,-1.081709489,5.779074756,-4.96233579,8.03E-06,0.000165615,3.4592693
DAPK1,1612,death associated protein kinase 1,-1.390490005,6.875433259,-2.487022588,0.016166832,0.047333507,-3.629064098
DBI,1622,diazepam binding inhibitor  acyl-CoA binding protein,1.331657389,7.710406598,5.662054653,6.75E-07,3.03E-05,5.827515372
DCN,1634,decorin,-1.455906619,4.200137508,-3.998493566,0.000204484,0.001788853,0.388427352
GADD45A,1647,growth arrest and DNA damage inducible alpha,3.014296197,10.11440027,6.863556466,8.61E-09,1.33E-06,10.01788216
DDIT3,1649,DNA damage inducible transcript 3,1.322948599,7.102125958,3.291730531,0.001804178,0.009267095,-1.642452539
DDT,1652,D-dopachrome tautomerase,1.547076249,7.025623002,5.316345955,2.32E-06,6.85E-05,4.646923703
SEPTIN1,1731,septin 1,-1.015575198,6.097188067,-3.51586944,0.000924874,0.005718177,-1.023582956
DYNC1I2,1781,dynein cytoplasmic 1 intermediate chain 2,-1.041442881,6.664048056,-4.491557164,4.03E-05,0.000532137,1.924384712
SLC26A2,1836,solute carrier family 26 member 2,-1.198076163,4.739676118,-5.188624769,3.64E-06,9.35E-05,4.215634215
