SYMBOL,ENTREZID,GENENAME,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AAAS,8086,aladin WD repeat nucleoporin,70.79738342,-1.28012565,0.208583439,-6.13723532,8.40E-10,1.82E-08
AAMDC,28971,adipogenesis associated Mth938 domain containing,29.95306007,1.013745722,0.26531689,3.820886499,0.000132973,0.00069984
AASS,10157,aminoadipate-semialdehyde synthase,7.013878579,1.978579525,0.475085168,4.164683843,3.12E-05,0.000202055
ABCA11P,79963,"ATP binding cassette subfamily A member 11, pseudogene",1.063504629,-2.69722605,0.60573935,-4.452783277,8.48E-06,6.46E-05
ABCA2,20,ATP binding cassette subfamily A member 2,12.83841584,1.126099449,0.298255721,3.775617262,0.000159612,0.000816623
ABCA6,23460,ATP binding cassette subfamily A member 6,10.55922875,-1.946070725,0.485228444,-4.010627877,6.06E-05,0.000355037
ABCB9,23457,ATP binding cassette subfamily B member 9,306.7066103,-1.443191319,0.306008013,-4.716188,2.40E-06,2.12E-05
ABCC4,10257,ATP binding cassette subfamily C member 4,7.664366045,-2.44224399,0.383578288,-6.367002688,1.93E-10,4.89E-09
ABCD2,225,ATP binding cassette subfamily D member 2,2.152411909,-1.633039929,0.533582188,-3.060521819,0.002209517,0.007668118
ABCG1,9619,ATP binding cassette subfamily G member 1,5.752838254,1.183704105,0.493220555,2.399948851,0.016397363,0.041520651
ABHD13,84945,abhydrolase domain containing 13,12.37224487,-1.095561339,0.285334234,-3.839572007,0.000123249,0.000656534
ABHD16B,140701,abhydrolase domain containing 16B,0.823999373,2.415632081,0.700937717,3.446286341,0.000568348,0.002427148
ABHD17AP6,644988,abhydrolase domain containing 17A pseudogene 6,1.813590821,1.520811573,0.53921761,2.820404128,0.00479632,0.014851168
ABI3,51225,ABI family member 3,22.25195454,-5.11166892,0.53058354,-9.634051063,5.74E-22,1.48E-19
ABL2,27,"ABL proto-oncogene 2, non-receptor tyrosine kinase",76.57899806,1.276580942,0.174715207,7.306638977,2.74E-13,1.37E-11
ABLIM1,3983,actin binding LIM protein 1,33.93814004,-1.604319092,0.496690785,-3.230015821,0.001237834,0.004694623
ABR,29,ABR activator of RhoGEF and GTPase,39.44117455,-1.291341526,0.371493246,-3.476083456,0.000508794,0.002212993
ACADM,34,acyl-CoA dehydrogenase medium chain,37.6546319,-1.716849472,0.282567228,-6.075897349,1.23E-09,2.55E-08
ACAP1,9744,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 1",227.7221718,-1.005441752,0.189392483,-5.308773269,1.10E-07,1.42E-06
ACAP2,23527,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2",51.71388111,-1.174664681,0.188972533,-6.216060426,5.10E-10,1.16E-08
ACER2,340485,alkaline ceramidase 2,1.040510285,2.672285665,0.643920396,4.150024879,3.32E-05,0.00021316
ACOT11,26027,acyl-CoA thioesterase 11,1.834574367,1.747437518,0.533617407,3.274701113,0.001057738,0.004124923
ACOX2,8309,acyl-CoA oxidase 2,1.387316994,2.64043992,0.614770836,4.294998667,1.75E-05,0.000121604
ACSF3,197322,acyl-CoA synthetase family member 3,122.616352,-1.274295387,0.15461147,-8.241920146,1.69E-16,1.56E-14
ACSL3,2181,acyl-CoA synthetase long chain family member 3,22.66196874,-1.324907903,0.260515421,-5.085717766,3.66E-07,4.11E-06
ACSL4,2182,acyl-CoA synthetase long chain family member 4,17.3350676,-1.647816544,0.328884153,-5.010325157,5.43E-07,5.81E-06
ACSL6,23305,acyl-CoA synthetase long chain family member 6,1.94342986,1.362357717,0.408555862,3.334569008,0.000854317,0.003445565
ACSS1,84532,acyl-CoA synthetase short chain family member 1,271.1477986,-1.50169301,0.220160491,-6.820901436,9.05E-12,3.10E-10
ACTA1,58,"actin alpha 1, skeletal muscle",4.603581492,1.874873809,0.551621234,3.398842706,0.000676716,0.00282132
ACTA2,59,"actin alpha 2, smooth muscle",3.778936436,-2.509217376,0.470308901,-5.335253849,9.54E-08,1.25E-06
ACTBP1,643309,ACTB pseudogene 1,3.268705,-1.001897273,0.328281809,-3.051942705,0.002273655,0.00785583
ACTBP14,389976,ACTB pseudogene 14,0.494459833,-2.502595605,0.76161842,-3.285891648,0.001016601,0.003988546
ACTBP2,62,ACTB pseudogene 2,2.145265153,1.379262184,0.405631935,3.400280072,0.000673169,0.002808946
ACTL7B,10880,actin like 7B,0.708074108,2.405243238,0.867798524,2.7716609,0.00557711,0.016848143
ACTR3,10096,actin related protein 3,74.53238524,-1.699560024,0.27561257,-6.166482272,6.98E-10,1.54E-08
ACTR3C,653857,actin related protein 3C,6.488591624,-1.102950151,0.314166302,-3.510720743,0.000446894,0.001979287
ACVR1B,91,activin A receptor type 1B,11.67192772,1.149329884,0.339678296,3.383583518,0.000715464,0.002953897
ACVR1C,130399,activin A receptor type 1C,3.650714012,1.435822478,0.442352579,3.245877943,0.00117089,0.004487795
ACVR2B,93,activin A receptor type 2B,11.51798486,1.02697584,0.252894054,4.060893578,4.89E-05,0.000295913
ACVR2B-AS1,100128640,ACVR2B antisense RNA 1,0.751413729,2.671290856,0.591036332,4.519672841,6.19E-06,4.90E-05
ADAD2,161931,adenosine deaminase domain containing 2,1.780372546,1.964097353,0.807988152,2.4308492,0.015063483,0.038657408
ADAM12,8038,ADAM metallopeptidase domain 12,1.451353868,-2.212505272,0.928703733,-2.382358541,0.01720214,0.043212217
